DATAFLOW,FREQ,ETA,ITTER107,SESSO,STACIVX,TIPO_INDDEM,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:22_289(1.5),A,TOTAL,001058,9,99,JAN,2020,9224,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001058,9,99,JAN,2021,9051,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001059,9,99,JAN,2019,28575,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001059,9,99,JAN,2020,28485,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001059,9,99,JAN,2021,28399,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001060,9,99,JAN,2019,1877,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001060,9,99,JAN,2020,1874,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001060,9,99,JAN,2021,1862,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001061,9,99,JAN,2019,1506,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001061,9,99,JAN,2020,1511,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001061,9,99,JAN,2021,1532,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001062,9,99,JAN,2019,3026,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001062,9,99,JAN,2020,3022,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001062,9,99,JAN,2021,3005,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001063,9,99,JAN,2019,13883,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001063,9,99,JAN,2020,13907,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001063,9,99,JAN,2021,13749,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001064,9,99,JAN,2019,1774,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001064,9,99,JAN,2020,1748,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001064,9,99,JAN,2021,1755,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001065,9,99,JAN,2019,2233,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001065,9,99,JAN,2020,2195,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001065,9,99,JAN,2021,2165,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001066,9,99,JAN,2019,9951,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001066,9,99,JAN,2020,9842,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001066,9,99,JAN,2021,9667,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001067,9,99,JAN,2019,432,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001067,9,99,JAN,2020,416,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001067,9,99,JAN,2021,416,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001068,9,99,JAN,2019,6550,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001068,9,99,JAN,2020,6501,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001068,9,99,JAN,2021,6446,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001069,9,99,JAN,2019,2309,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001069,9,99,JAN,2020,2288,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001069,9,99,JAN,2021,2237,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001070,9,99,JAN,2019,5483,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001070,9,99,JAN,2020,5480,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001070,9,99,JAN,2021,5385,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001071,9,99,JAN,2019,1813,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001071,9,99,JAN,2020,1787,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001071,9,99,JAN,2021,1761,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001072,9,99,JAN,2019,1049,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001072,9,99,JAN,2020,1036,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001072,9,99,JAN,2021,1032,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001073,9,99,JAN,2019,165,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001073,9,99,JAN,2020,161,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001073,9,99,JAN,2021,167,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001074,9,99,JAN,2019,965,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001074,9,99,JAN,2020,951,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001074,9,99,JAN,2021,913,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001075,9,99,JAN,2019,371,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001075,9,99,JAN,2020,356,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001075,9,99,JAN,2021,353,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001076,9,99,JAN,2019,1603,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001076,9,99,JAN,2020,1595,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001076,9,99,JAN,2021,1569,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001077,9,99,JAN,2019,2067,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001077,9,99,JAN,2020,2055,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001077,9,99,JAN,2021,2021,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001078,9,99,JAN,2019,36487,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001078,9,99,JAN,2020,36413,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001078,9,99,JAN,2021,36001,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001079,9,99,JAN,2019,223,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001079,9,99,JAN,2020,217,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001079,9,99,JAN,2021,233,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001080,9,99,JAN,2019,894,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001080,9,99,JAN,2020,885,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001080,9,99,JAN,2021,860,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001081,9,99,JAN,2019,1624,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001081,9,99,JAN,2020,1598,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001081,9,99,JAN,2021,1565,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001082,9,99,JAN,2019,26801,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001082,9,99,JAN,2020,26730,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001082,9,99,JAN,2021,26497,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001083,9,99,JAN,2019,386,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001083,9,99,JAN,2020,384,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001083,9,99,JAN,2021,360,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001084,9,99,JAN,2019,247,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001084,9,99,JAN,2020,241,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001084,9,99,JAN,2021,242,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001085,9,99,JAN,2019,333,,,,,,,,,
